,,Total,A1 Are you...?,,A2 What is your age?,,,,,,A3 What is your ethnic group?,,,,,,,,,,,A6 Which region or nation do you live in?,,,,,,,,,,,,"Q2 More specifically, what is the highest level of educational qualifications you have achieved?",,,,,,,,Q4 Thinking about the property you live in. Does your household own or rent this accommodation?,,,,,,,Q8 What is your religion?,,,,,,,,Q13 Were either of your parents born outside the United Kingdom?,,,A5 Were you born in the UK?,,"Q48 Some people say the following things are important for being ""truly British'.   Which of the following do you think is most important? Please select up to three. |",,,,,,,,,,,,"Q51.1_2: Q51.1 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Black and minority ethnic people",,,"Q51.2_2: Q51.2 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | White people",,,"Q51.3_2: Q51.3 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Poor people",,,"Q51.4_2: Q51.4 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Old people",,,"Q51.5_2: Q51.5 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Young people",,,"Q51.6_2: Q51.6 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | People on welfare benefits",,,"Q51.7_2: Q51.7 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | LGBTQ+ people",,
,Liberal Democrats,8%,9%,8%,8%,10%,9%,7%,10%,9%,7%,9%,5%,5%,12%,13%,7%,9%,10%,9%,20%,5%,10%,10%,15%,7%,13%,6%,8%,8%,7%,3%,10%,5%,6%,9%,6%,2%,9%,8%,11%,9%,5%,9%,8%,14%,7%,6%,16%,12%,5%,0%,6%,9%,5%,7%,6%,15%,3%,8%,9%,8%,9%,13%,7%,8%,11%,9%,8%,18%,19%,9%,4%,13%,8%,7%,8%,9%,11%,11%,7%,8%,10%,7%,10%,10%,7%,9%,12%,7%,9%,10%,8%,8%
,Plaid Cymru,0%,0%,0%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,0%,4%,2%,0%,0%,1%,0%,0%,0%,0%,3%,0%,2%,0%,1%,1%,1%,0%,1%,0%,0%,0%,0%,1%,0%,0%,1%,2%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,1%,5%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%,1%,0%,0%,1%,1%,1%,0%,0%,0%,1%,1%,0%,1%,0%,1%,0%,0%,0%,1%,1%
,The Scottish National Party (SNP),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,None of the political parties,29%,26%,30%,22%,29%,28%,30%,33%,32%,23%,35%,29%,22%,38%,15%,33%,40%,43%,26%,28%,31%,26%,25%,21%,30%,38%,34%,40%,44%,29%,49%,21%,48%,38%,31%,31%,42%,24%,36%,20%,27%,34%,32%,28%,21%,27%,63%,20%,27%,27%,40%,24%,42%,24%,47%,30%,23%,59%,30%,29%,27%,23%,19%,27%,27%,19%,24%,27%,17%,19%,28%,52%,27%,30%,28%,29%,31%,21%,29%,29%,27%,29%,29%,27%,27%,31%,24%,29%,29%,29%,28%,28%,29%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58.4 Which party do you trust the most to handle the following issues? | The environment and climate change,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,The Labour Party,35%,36%,35%,42%,36%,36%,32%,32%,32%,42%,31%,31%,49%,28%,39%,33%,30%,24%,35%,36%,33%,34%,34%,36%,42%,33%,32%,21%,17%,37%,28%,41%,36%,29%,34%,36%,38%,32%,37%,37%,35%,37%,29%,36%,34%,44%,16%,25%,32%,28%,36%,45%,29%,35%,22%,37%,33%,22%,32%,36%,35%,34%,36%,37%,35%,30%,39%,35%,35%,34%,36%,30%,30%,34%,38%,36%,32%,40%,34%,35%,37%,33%,37%,36%,35%,34%,40%,34%,36%,35%,31%,36%,39%
,The Conservative Party,18%,19%,16%,13%,18%,20%,18%,18%,16%,11%,20%,24%,13%,17%,25%,16%,10%,13%,20%,13%,22%,23%,18%,28%,12%,15%,17%,21%,12%,17%,6%,18%,7%,18%,16%,13%,14%,21%,13%,22%,19%,11%,12%,20%,22%,7%,7%,24%,21%,30%,6%,13%,13%,22%,7%,17%,21%,6%,20%,16%,20%,23%,25%,18%,19%,31%,18%,18%,20%,24%,15%,6%,24%,18%,15%,16%,19%,21%,22%,16%,17%,20%,15%,19%,21%,15%,19%,22%,17%,15%,20%,18%,15%
,Liberal Democrats,12%,13%,11%,15%,12%,12%,12%,11%,12%,16%,12%,9%,8%,14%,16%,13%,12%,13%,15%,18%,11%,16%,14%,14%,11%,6%,12%,10%,11%,11%,7%,13%,12%,7%,11%,13%,8%,17%,12%,13%,12%,9%,16%,12%,19%,13%,7%,28%,16%,8%,13%,10%,12%,9%,9%,11%,18%,4%,12%,13%,12%,13%,17%,12%,13%,15%,14%,13%,18%,22%,14%,5%,15%,12%,12%,12%,13%,15%,13%,13%,11%,13%,12%,12%,13%,12%,11%,15%,12%,11%,15%,11%,12%
,Plaid Cymru,1%,1%,0%,1%,1%,1%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,1%,0%,0%,2%,1%,0%,0%,0%,1%,3%,1%,0%,10%,0%,1%,0%,1%,1%,1%,0%,0%,1%,1%,0%,1%,1%,0%,0%,0%,1%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,1%,2%,0%,0%,1%,1%,1%,1%,1%,0%,1%,1%,0%,0%,0%,0%,1%,1%,0%,0%,1%,1%,0%,1%,1%,0%,0%,1%,0%,1%,1%,1%,0%,1%,0%,1%,0%
,The Scottish National Party (SNP),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,None of the political parties,34%,31%,37%,29%,33%,32%,37%,38%,40%,31%,38%,36%,29%,40%,19%,38%,46%,50%,30%,31%,33%,27%,34%,22%,33%,40%,38%,47%,50%,34%,58%,28%,45%,45%,37%,38%,41%,30%,38%,26%,33%,42%,42%,32%,25%,35%,70%,23%,30%,34%,45%,31%,46%,33%,62%,36%,28%,66%,35%,34%,33%,29%,21%,32%,32%,23%,29%,33%,25%,20%,34%,58%,30%,35%,35%,36%,35%,22%,30%,36%,34%,33%,36%,31%,31%,38%,29%,29%,35%,37%,34%,34%,34%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58.5 Which party do you trust the most to handle the following issues? | Immigration and asylum,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,The Labour Party,39%,38%,40%,47%,41%,38%,38%,30%,32%,50%,28%,39%,49%,38%,44%,39%,29%,25%,38%,42%,35%,39%,38%,35%,46%,29%,34%,36%,20%,42%,22%,45%,29%,32%,36%,41%,39%,40%,33%,43%,37%,43%,31%,41%,36%,42%,20%,30%,36%,34%,36%,48%,29%,48%,24%,41%,36%,27%,34%,41%,36%,39%,40%,40%,39%,43%,42%,40%,44%,42%,40%,32%,32%,36%,44%,41%,35%,41%,35%,40%,41%,38%,41%,38%,37%,40%,43%,33%,40%,42%,35%,40%,42%
,The Conservative Party,18%,20%,17%,15%,18%,19%,19%,21%,20%,15%,22%,24%,16%,16%,22%,15%,12%,15%,21%,14%,22%,18%,19%,27%,13%,10%,20%,15%,18%,19%,21%,18%,16%,16%,18%,14%,12%,22%,16%,23%,20%,11%,11%,19%,25%,15%,8%,25%,20%,29%,12%,16%,13%,20%,9%,18%,21%,5%,21%,17%,22%,23%,21%,19%,20%,25%,19%,20%,22%,21%,17%,6%,25%,20%,15%,17%,20%,23%,23%,18%,16%,20%,17%,21%,21%,15%,21%,24%,17%,16%,21%,19%,16%
,Liberal Democrats,10%,11%,9%,10%,11%,10%,8%,10%,6%,11%,11%,5%,7%,11%,15%,7%,11%,9%,10%,18%,9%,14%,11%,13%,8%,6%,10%,13%,10%,6%,3%,11%,6%,9%,10%,8%,8%,10%,9%,12%,11%,7%,9%,8%,15%,8%,7%,18%,13%,7%,13%,7%,10%,4%,13%,8%,15%,7%,10%,10%,11%,10%,17%,8%,10%,14%,10%,9%,17%,17%,10%,6%,12%,10%,8%,8%,10%,15%,11%,9%,9%,10%,9%,11%,11%,8%,10%,12%,9%,9%,10%,9%,9%
,Plaid Cymru,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,3%,0%,0%,2%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%
,The Scottish National Party (SNP),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,None of the political parties,33%,31%,34%,27%,30%,32%,35%,39%,42%,24%,39%,32%,28%,36%,19%,39%,47%,50%,30%,24%,35%,29%,31%,25%,33%,41%,36%,36%,49%,32%,55%,26%,46%,42%,36%,37%,41%,29%,41%,23%,32%,39%,49%,31%,24%,34%,63%,27%,30%,30%,40%,29%,47%,27%,53%,33%,28%,60%,34%,32%,30%,27%,21%,32%,31%,17%,29%,31%,17%,20%,33%,55%,30%,34%,32%,34%,35%,20%,31%,33%,33%,32%,34%,30%,31%,36%,26%,31%,34%,32%,33%,32%,33%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58.6 Which party do you trust the most to handle the following issues? | Housing,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,The Labour Party,45%,44%,45%,51%,43%,45%,45%,37%,41%,59%,35%,40%,55%,36%,48%,45%,36%,36%,45%,48%,41%,45%,44%,36%,53%,26%,38%,33%,29%,48%,39%,51%,38%,37%,42%,47%,41%,43%,40%,48%,43%,48%,41%,48%,38%,52%,18%,44%,41%,37%,36%,54%,37%,47%,30%,47%,41%,30%,43%,45%,44%,48%,43%,46%,47%,42%,47%,47%,38%,43%,45%,37%,37%,41%,49%,47%,41%,38%,41%,44%,48%,46%,45%,41%,45%,45%,41%,41%,46%,46%,42%,46%,45%
,The Conservative Party,16%,17%,14%,15%,16%,16%,15%,16%,17%,11%,12%,20%,15%,17%,23%,14%,9%,11%,18%,8%,19%,16%,15%,26%,10%,14%,18%,19%,12%,16%,8%,17%,13%,16%,17%,10%,10%,16%,15%,19%,19%,10%,12%,15%,22%,9%,8%,18%,19%,25%,12%,13%,10%,19%,9%,15%,19%,4%,16%,15%,18%,18%,24%,15%,15%,25%,17%,16%,27%,22%,14%,6%,21%,17%,13%,13%,17%,28%,17%,15%,15%,16%,14%,19%,16%,13%,22%,18%,15%,15%,17%,15%,15%
,Liberal Democrats,10%,11%,9%,9%,11%,10%,8%,11%,5%,7%,15%,8%,6%,9%,11%,8%,10%,9%,15%,22%,8%,13%,12%,16%,7%,3%,8%,8%,11%,8%,4%,10%,6%,7%,8%,7%,9%,13%,10%,12%,8%,6%,13%,10%,17%,4%,11%,13%,13%,8%,13%,7%,9%,5%,13%,8%,14%,7%,9%,10%,10%,10%,16%,9%,10%,13%,10%,9%,17%,15%,11%,4%,13%,10%,8%,8%,11%,14%,11%,9%,9%,9%,9%,11%,10%,8%,11%,12%,9%,9%,10%,9%,10%
,Plaid Cymru,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,2%,0%,1%,0%,0%,0%,0%,5%,0%,0%,3%,1%,1%,0%,1%,1%,0%,1%,0%,0%,1%,0%,1%,0%,0%,0%,0%,3%,1%,4%,0%,0%,0%,0%,0%,2%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,1%,0%,0%,0%,1%,1%,0%,0%,1%,0%,0%,1%,0%,0%,1%,0%,1%,1%,0%,0%,1%
,The Scottish National Party (SNP),0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,3%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,None of the political parties,29%,27%,32%,25%,28%,28%,32%,35%,37%,22%,38%,32%,24%,35%,17%,33%,44%,43%,20%,22%,31%,26%,28%,22%,30%,37%,36%,40%,46%,27%,49%,23%,43%,39%,31%,34%,40%,27%,34%,21%,29%,35%,35%,28%,22%,33%,62%,21%,26%,29%,40%,25%,44%,27%,48%,30%,25%,58%,31%,30%,27%,24%,17%,29%,28%,19%,25%,27%,16%,18%,29%,52%,29%,31%,28%,31%,30%,20%,30%,31%,27%,29%,31%,27%,27%,33%,24%,29%,30%,30%,30%,29%,29%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58.7 Which party do you trust the most to handle the following issues? | Crime,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,The Labour Party,36%,36%,37%,41%,37%,38%,34%,30%,31%,47%,25%,34%,48%,27%,39%,36%,30%,29%,34%,38%,32%,31%,36%,32%,44%,26%,28%,28%,21%,42%,33%,42%,32%,31%,37%,38%,41%,32%,32%,39%,34%,40%,31%,38%,35%,40%,18%,28%,34%,28%,36%,45%,29%,41%,23%,38%,34%,30%,34%,37%,37%,37%,38%,37%,38%,36%,39%,36%,41%,36%,37%,31%,29%,34%,41%,37%,34%,38%,34%,36%,39%,36%,37%,37%,36%,36%,38%,34%,37%,37%,33%,36%,40%
,The Conservative Party,20%,22%,18%,18%,19%,18%,23%,20%,23%,18%,20%,26%,18%,17%,24%,17%,14%,13%,22%,18%,23%,26%,19%,26%,16%,15%,26%,19%,18%,19%,12%,19%,7%,20%,18%,16%,7%,23%,18%,24%,22%,12%,9%,22%,24%,14%,9%,31%,22%,29%,12%,17%,14%,27%,16%,20%,20%,5%,22%,18%,19%,24%,27%,21%,21%,26%,22%,22%,20%,24%,19%,5%,23%,22%,16%,19%,20%,23%,22%,21%,17%,20%,19%,21%,22%,18%,21%,21%,20%,19%,20%,21%,17%
,Liberal Democrats,10%,11%,9%,9%,11%,12%,8%,9%,8%,8%,14%,6%,6%,8%,16%,7%,8%,10%,15%,18%,11%,11%,12%,18%,8%,5%,9%,10%,7%,7%,5%,11%,9%,6%,8%,8%,8%,14%,11%,11%,10%,8%,21%,8%,15%,8%,5%,15%,14%,8%,13%,8%,8%,2%,11%,7%,18%,4%,9%,11%,11%,10%,15%,9%,8%,19%,10%,9%,20%,18%,10%,5%,17%,9%,8%,8%,11%,17%,12%,8%,10%,10%,9%,11%,11%,9%,10%,14%,8%,9%,13%,8%,9%
,Plaid Cymru,1%,1%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,2%,1%,0%,0%,1%,0%,0%,4%,0%,0%,5%,0%,0%,0%,1%,1%,0%,0%,1%,0%,1%,1%,1%,1%,2%,0%,0%,2%,1%,4%,1%,1%,0%,0%,1%,0%,1%,1%,1%,1%,0%,0%,0%,1%,1%,0%,0%,0%,1%,1%,1%,1%,0%,1%,1%,1%,0%,0%,1%,1%,1%,1%,0%,1%,1%,0%,1%,0%,1%,1%,0%,1%,1%,1%,1%
,The Scottish National Party (SNP),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,None of the political parties,33%,30%,36%,29%,32%,32%,35%,40%,38%,27%,41%,34%,28%,45%,20%,40%,46%,47%,27%,25%,33%,32%,33%,25%,33%,39%,37%,42%,49%,32%,50%,28%,50%,43%,37%,37%,42%,30%,37%,25%,33%,39%,37%,32%,24%,36%,67%,21%,30%,33%,40%,30%,48%,30%,49%,35%,28%,60%,34%,33%,33%,28%,20%,32%,32%,19%,29%,32%,18%,21%,34%,57%,30%,34%,34%,35%,34%,21%,31%,34%,34%,33%,34%,30%,30%,37%,29%,31%,34%,34%,33%,33%,33%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58.8 Which party do you trust the most to handle the following issues? | Education,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,The Labour Party,43%,41%,44%,50%,42%,42%,42%,36%,36%,56%,32%,38%,57%,32%,45%,44%,38%,28%,42%,41%,40%,39%,43%,34%,53%,28%,37%,35%,24%,46%,41%,43%,32%,39%,43%,45%,41%,43%,39%,44%,41%,47%,36%,45%,39%,45%,19%,47%,39%,34%,49%,52%,35%,41%,23%,45%,37%,30%,39%,44%,42%,45%,42%,44%,44%,40%,45%,44%,41%,41%,43%,36%,32%,40%,48%,44%,40%,40%,38%,43%,45%,41%,43%,43%,41%,43%,45%,36%,45%,45%,37%,44%,46%
,The Conservative Party,19%,23%,15%,17%,19%,18%,20%,21%,21%,13%,24%,27%,14%,18%,26%,14%,11%,12%,23%,17%,20%,23%,19%,20%,12%,16%,25%,16%,17%,19%,9%,23%,12%,17%,17%,15%,13%,21%,15%,24%,22%,11%,10%,20%,24%,15%,8%,16%,22%,34%,12%,15%,14%,28%,8%,18%,22%,4%,22%,17%,22%,23%,25%,20%,20%,29%,20%,20%,23%,20%,19%,7%,27%,21%,15%,18%,20%,23%,23%,19%,17%,20%,18%,18%,23%,16%,18%,24%,18%,16%,23%,19%,16%
